dateRep,cases,deaths,countriesAndTerritories,continentExp,gdp_per_capita,life_expectancy,population,tests_units,Smokers
8/21/2020,97,2,Afghanistan,Asia,1803.987,64.83,41128772,,
8/20/2020,160,8,Afghanistan,Asia,1803.987,64.83,41128772,,
8/19/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
8/18/2020,3,0,Afghanistan,Asia,1803.987,64.83,41128772,,
8/17/2020,45,5,Afghanistan,Asia,1803.987,64.83,41128772,,
8/16/2020,120,7,Afghanistan,Asia,1803.987,64.83,41128772,,
8/15/2020,7,0,Afghanistan,Asia,1803.987,64.83,41128772,,
8/14/2020,79,9,Afghanistan,Asia,1803.987,64.83,41128772,,
8/13/2020,76,10,Afghanistan,Asia,1803.987,64.83,41128772,,
8/12/2020,215,32,Afghanistan,Asia,1803.987,64.83,41128772,,
8/11/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
8/10/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
8/9/2020,39,5,Afghanistan,Asia,1803.987,64.83,41128772,,
8/8/2020,78,9,Afghanistan,Asia,1803.987,64.83,41128772,,
8/7/2020,41,0,Afghanistan,Asia,1803.987,64.83,41128772,,
8/6/2020,67,4,Afghanistan,Asia,1803.987,64.83,41128772,,
8/5/2020,82,6,Afghanistan,Asia,1803.987,64.83,41128772,,
8/4/2020,37,4,Afghanistan,Asia,1803.987,64.83,41128772,,
8/3/2020,0,1,Afghanistan,Asia,1803.987,64.83,41128772,,
8/2/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
8/1/2020,168,12,Afghanistan,Asia,1803.987,64.83,41128772,,
7/31/2020,71,0,Afghanistan,Asia,1803.987,64.83,41128772,,
7/30/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
7/29/2020,103,1,Afghanistan,Asia,1803.987,64.83,41128772,,
7/28/2020,105,1,Afghanistan,Asia,1803.987,64.83,41128772,,
7/27/2020,106,10,Afghanistan,Asia,1803.987,64.83,41128772,,
7/26/2020,121,13,Afghanistan,Asia,1803.987,64.83,41128772,,
7/25/2020,108,35,Afghanistan,Asia,1803.987,64.83,41128772,,
7/24/2020,13,0,Afghanistan,Asia,1803.987,64.83,41128772,,
7/23/2020,188,21,Afghanistan,Asia,1803.987,64.83,41128772,,
7/22/2020,112,4,Afghanistan,Asia,1803.987,64.83,41128772,,
7/21/2020,140,5,Afghanistan,Asia,1803.987,64.83,41128772,,
7/20/2020,174,17,Afghanistan,Asia,1803.987,64.83,41128772,,
7/19/2020,12,17,Afghanistan,Asia,1803.987,64.83,41128772,,
7/18/2020,219,32,Afghanistan,Asia,1803.987,64.83,41128772,,
7/17/2020,76,21,Afghanistan,Asia,1803.987,64.83,41128772,,
7/16/2020,254,49,Afghanistan,Asia,1803.987,64.83,41128772,,
7/15/2020,285,33,Afghanistan,Asia,1803.987,64.83,41128772,,
7/14/2020,4,2,Afghanistan,Asia,1803.987,64.83,41128772,,
7/13/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
7/12/2020,85,16,Afghanistan,Asia,1803.987,64.83,41128772,,
7/11/2020,458,37,Afghanistan,Asia,1803.987,64.83,41128772,,
7/10/2020,255,20,Afghanistan,Asia,1803.987,64.83,41128772,,
7/9/2020,59,1,Afghanistan,Asia,1803.987,64.83,41128772,,
7/8/2020,210,16,Afghanistan,Asia,1803.987,64.83,41128772,,
7/7/2020,433,56,Afghanistan,Asia,1803.987,64.83,41128772,,
7/6/2020,279,38,Afghanistan,Asia,1803.987,64.83,41128772,,
7/5/2020,348,7,Afghanistan,Asia,1803.987,64.83,41128772,,
7/4/2020,302,12,Afghanistan,Asia,1803.987,64.83,41128772,,
7/3/2020,186,33,Afghanistan,Asia,1803.987,64.83,41128772,,
7/2/2020,319,28,Afghanistan,Asia,1803.987,64.83,41128772,,
7/1/2020,279,13,Afghanistan,Asia,1803.987,64.83,41128772,,
6/30/2020,271,12,Afghanistan,Asia,1803.987,64.83,41128772,,
6/29/2020,351,18,Afghanistan,Asia,1803.987,64.83,41128772,,
6/28/2020,165,20,Afghanistan,Asia,1803.987,64.83,41128772,,
6/27/2020,276,8,Afghanistan,Asia,1803.987,64.83,41128772,,
6/26/2020,460,36,Afghanistan,Asia,1803.987,64.83,41128772,,
6/25/2020,234,21,Afghanistan,Asia,1803.987,64.83,41128772,,
6/24/2020,338,20,Afghanistan,Asia,1803.987,64.83,41128772,,
6/23/2020,310,17,Afghanistan,Asia,1803.987,64.83,41128772,,
6/22/2020,409,12,Afghanistan,Asia,1803.987,64.83,41128772,,
6/21/2020,546,21,Afghanistan,Asia,1803.987,64.83,41128772,,
6/20/2020,346,2,Afghanistan,Asia,1803.987,64.83,41128772,,
6/19/2020,658,42,Afghanistan,Asia,1803.987,64.83,41128772,,
6/18/2020,564,13,Afghanistan,Asia,1803.987,64.83,41128772,,
6/17/2020,783,13,Afghanistan,Asia,1803.987,64.83,41128772,,
6/16/2020,761,7,Afghanistan,Asia,1803.987,64.83,41128772,,
6/15/2020,664,20,Afghanistan,Asia,1803.987,64.83,41128772,,
6/14/2020,556,5,Afghanistan,Asia,1803.987,64.83,41128772,,
6/13/2020,656,20,Afghanistan,Asia,1803.987,64.83,41128772,,
6/12/2020,747,21,Afghanistan,Asia,1803.987,64.83,41128772,,
6/11/2020,684,21,Afghanistan,Asia,1803.987,64.83,41128772,,
6/10/2020,542,15,Afghanistan,Asia,1803.987,64.83,41128772,,
6/9/2020,575,12,Afghanistan,Asia,1803.987,64.83,41128772,,
6/8/2020,791,30,Afghanistan,Asia,1803.987,64.83,41128772,,
6/7/2020,582,18,Afghanistan,Asia,1803.987,64.83,41128772,,
6/6/2020,915,9,Afghanistan,Asia,1803.987,64.83,41128772,,
6/5/2020,787,6,Afghanistan,Asia,1803.987,64.83,41128772,,
6/4/2020,758,24,Afghanistan,Asia,1803.987,64.83,41128772,,
6/3/2020,759,5,Afghanistan,Asia,1803.987,64.83,41128772,,
6/2/2020,545,8,Afghanistan,Asia,1803.987,64.83,41128772,,
6/1/2020,680,8,Afghanistan,Asia,1803.987,64.83,41128772,,
5/31/2020,866,3,Afghanistan,Asia,1803.987,64.83,41128772,,
5/30/2020,623,11,Afghanistan,Asia,1803.987,64.83,41128772,,
5/29/2020,580,8,Afghanistan,Asia,1803.987,64.83,41128772,,
5/28/2020,625,7,Afghanistan,Asia,1803.987,64.83,41128772,,
5/27/2020,658,1,Afghanistan,Asia,1803.987,64.83,41128772,,
5/26/2020,591,1,Afghanistan,Asia,1803.987,64.83,41128772,,
5/25/2020,584,2,Afghanistan,Asia,1803.987,64.83,41128772,,
5/24/2020,782,11,Afghanistan,Asia,1803.987,64.83,41128772,,
5/23/2020,540,12,Afghanistan,Asia,1803.987,64.83,41128772,,
5/22/2020,531,6,Afghanistan,Asia,1803.987,64.83,41128772,,
5/21/2020,492,9,Afghanistan,Asia,1803.987,64.83,41128772,,
5/20/2020,581,5,Afghanistan,Asia,1803.987,64.83,41128772,,
5/19/2020,408,4,Afghanistan,Asia,1803.987,64.83,41128772,,
5/18/2020,262,1,Afghanistan,Asia,1803.987,64.83,41128772,,
5/17/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
5/16/2020,1063,32,Afghanistan,Asia,1803.987,64.83,41128772,,
5/15/2020,113,6,Afghanistan,Asia,1803.987,64.83,41128772,,
5/14/2020,259,3,Afghanistan,Asia,1803.987,64.83,41128772,,
5/13/2020,280,5,Afghanistan,Asia,1803.987,64.83,41128772,,
5/12/2020,285,2,Afghanistan,Asia,1803.987,64.83,41128772,,
5/11/2020,369,5,Afghanistan,Asia,1803.987,64.83,41128772,,
5/10/2020,255,6,Afghanistan,Asia,1803.987,64.83,41128772,,
5/9/2020,215,3,Afghanistan,Asia,1803.987,64.83,41128772,,
5/8/2020,171,2,Afghanistan,Asia,1803.987,64.83,41128772,,
5/7/2020,168,9,Afghanistan,Asia,1803.987,64.83,41128772,,
5/6/2020,330,5,Afghanistan,Asia,1803.987,64.83,41128772,,
5/5/2020,190,5,Afghanistan,Asia,1803.987,64.83,41128772,,
5/4/2020,235,13,Afghanistan,Asia,1803.987,64.83,41128772,,
5/3/2020,134,4,Afghanistan,Asia,1803.987,64.83,41128772,,
5/2/2020,164,4,Afghanistan,Asia,1803.987,64.83,41128772,,
5/1/2020,222,4,Afghanistan,Asia,1803.987,64.83,41128772,,
4/30/2020,122,0,Afghanistan,Asia,1803.987,64.83,41128772,,
4/29/2020,124,3,Afghanistan,Asia,1803.987,64.83,41128772,,
4/28/2020,172,0,Afghanistan,Asia,1803.987,64.83,41128772,,
4/27/2020,68,10,Afghanistan,Asia,1803.987,64.83,41128772,,
4/26/2020,112,4,Afghanistan,Asia,1803.987,64.83,41128772,,
4/25/2020,70,1,Afghanistan,Asia,1803.987,64.83,41128772,,
