dateRep;month;countriesAndTerritories;continentExp;cases;deaths;life_expectancy;population
11/9/2020;9;Afghanistan;Asia;28;0; 64.83 ; 41128772.0 
10/9/2020;9;Afghanistan;Asia;24;2; 64.83 ; 41128772.0 
9/9/2020;9;Afghanistan;Asia;26;3; 64.83 ; 41128772.0 
8/9/2020;9;Afghanistan;Asia;96;3; 64.83 ; 41128772.0 
7/9/2020;9;Afghanistan;Asia;74;2; 64.83 ; 41128772.0 
6/9/2020;9;Afghanistan;Asia;20;0; 64.83 ; 41128772.0 
5/9/2020;9;Afghanistan;Asia;16;0; 64.83 ; 41128772.0 
4/9/2020;9;Afghanistan;Asia;45;1; 64.83 ; 41128772.0 
3/9/2020;9;Afghanistan;Asia;38;3; 64.83 ; 41128772.0 
2/9/2020;9;Afghanistan;Asia;9;0; 64.83 ; 41128772.0 
1/9/2020;9;Afghanistan;Asia;34;4; 64.83 ; 41128772.0 
31/8/2020;8;Afghanistan;Asia;19;0; 64.83 ; 41128772.0 
30/8/2020;8;Afghanistan;Asia;3;0; 64.83 ; 41128772.0 
29/8/2020;8;Afghanistan;Asia;11;1; 64.83 ; 41128772.0 
28/8/2020;8;Afghanistan;Asia;3;0; 64.83 ; 41128772.0 
27/8/2020;8;Afghanistan;Asia;55;4; 64.83 ; 41128772.0 
26/8/2020;8;Afghanistan;Asia;1;0; 64.83 ; 41128772.0 
25/8/2020;8;Afghanistan;Asia;71;10; 64.83 ; 41128772.0 
24/8/2020;8;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
23/8/2020;8;Afghanistan;Asia;105;2; 64.83 ; 41128772.0 
22/8/2020;8;Afghanistan;Asia;38;0; 64.83 ; 41128772.0 
21/8/2020;8;Afghanistan;Asia;97;2; 64.83 ; 41128772.0 
20/8/2020;8;Afghanistan;Asia;160;8; 64.83 ; 41128772.0 
19/8/2020;8;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
18/8/2020;8;Afghanistan;Asia;3;0; 64.83 ; 41128772.0 
17/8/2020;8;Afghanistan;Asia;45;5; 64.83 ; 41128772.0 
16/8/2020;8;Afghanistan;Asia;120;7; 64.83 ; 41128772.0 
15/8/2020;8;Afghanistan;Asia;7;0; 64.83 ; 41128772.0 
14/8/2020;8;Afghanistan;Asia;79;9; 64.83 ; 41128772.0 
13/8/2020;8;Afghanistan;Asia;76;10; 64.83 ; 41128772.0 
12/8/2020;8;Afghanistan;Asia;215;32; 64.83 ; 41128772.0 
11/8/2020;8;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
10/8/2020;8;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
9/8/2020;8;Afghanistan;Asia;39;5; 64.83 ; 41128772.0 
8/8/2020;8;Afghanistan;Asia;78;9; 64.83 ; 41128772.0 
7/8/2020;8;Afghanistan;Asia;41;0; 64.83 ; 41128772.0 
6/8/2020;8;Afghanistan;Asia;67;4; 64.83 ; 41128772.0 
5/8/2020;8;Afghanistan;Asia;82;6; 64.83 ; 41128772.0 
4/8/2020;8;Afghanistan;Asia;37;4; 64.83 ; 41128772.0 
3/8/2020;8;Afghanistan;Asia;0;1; 64.83 ; 41128772.0 
2/8/2020;8;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
1/8/2020;8;Afghanistan;Asia;168;12; 64.83 ; 41128772.0 
31/7/2020;7;Afghanistan;Asia;71;0; 64.83 ; 41128772.0 
30/7/2020;7;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
29/7/2020;7;Afghanistan;Asia;103;1; 64.83 ; 41128772.0 
28/7/2020;7;Afghanistan;Asia;105;1; 64.83 ; 41128772.0 
27/7/2020;7;Afghanistan;Asia;106;10; 64.83 ; 41128772.0 
26/7/2020;7;Afghanistan;Asia;121;13; 64.83 ; 41128772.0 
25/7/2020;7;Afghanistan;Asia;108;35; 64.83 ; 41128772.0 
24/7/2020;7;Afghanistan;Asia;13;0; 64.83 ; 41128772.0 
23/7/2020;7;Afghanistan;Asia;188;21; 64.83 ; 41128772.0 
22/7/2020;7;Afghanistan;Asia;112;4; 64.83 ; 41128772.0 
