dateRep;countriesAndTerritories;cases;deaths;life_expectancy;population
12/5/2020;Afghanistan;285;2; 64.83 ; 41128772.0 
11/5/2020;Afghanistan;369;5; 64.83 ; 41128772.0 
10/5/2020;Afghanistan;255;6; 64.83 ; 41128772.0 
9/5/2020;Afghanistan;215;3; 64.83 ; 41128772.0 
8/5/2020;Afghanistan;171;2; 64.83 ; 41128772.0 
7/5/2020;Afghanistan;168;9; 64.83 ; 41128772.0 
6/5/2020;Afghanistan;330;5; 64.83 ; 41128772.0 
5/5/2020;Afghanistan;190;5; 64.83 ; 41128772.0 
4/5/2020;Afghanistan;235;13; 64.83 ; 41128772.0 
3/5/2020;Afghanistan;134;4; 64.83 ; 41128772.0 
2/5/2020;Afghanistan;164;4; 64.83 ; 41128772.0 
1/5/2020;Afghanistan;222;4; 64.83 ; 41128772.0 
30/4/2020;Afghanistan;122;0; 64.83 ; 41128772.0 
29/4/2020;Afghanistan;124;3; 64.83 ; 41128772.0 
28/4/2020;Afghanistan;172;0; 64.83 ; 41128772.0 
27/4/2020;Afghanistan;68;10; 64.83 ; 41128772.0 
26/4/2020;Afghanistan;112;4; 64.83 ; 41128772.0 
25/4/2020;Afghanistan;70;1; 64.83 ; 41128772.0 
24/4/2020;Afghanistan;105;2; 64.83 ; 41128772.0 
23/4/2020;Afghanistan;84;4; 64.83 ; 41128772.0 
22/4/2020;Afghanistan;61;1; 64.83 ; 41128772.0 
21/4/2020;Afghanistan;35;2; 64.83 ; 41128772.0 
20/4/2020;Afghanistan;88;3; 64.83 ; 41128772.0 
19/4/2020;Afghanistan;63;0; 64.83 ; 41128772.0 
18/4/2020;Afghanistan;51;1; 64.83 ; 41128772.0 
17/4/2020;Afghanistan;10;4; 64.83 ; 41128772.0 
16/4/2020;Afghanistan;70;2; 64.83 ; 41128772.0 
15/4/2020;Afghanistan;49;2; 64.83 ; 41128772.0 
14/4/2020;Afghanistan;58;3; 64.83 ; 41128772.0 
13/4/2020;Afghanistan;52;0; 64.83 ; 41128772.0 
12/4/2020;Afghanistan;34;3; 64.83 ; 41128772.0 
11/4/2020;Afghanistan;37;0; 64.83 ; 41128772.0 
10/4/2020;Afghanistan;61;1; 64.83 ; 41128772.0 
9/4/2020;Afghanistan;56;3; 64.83 ; 41128772.0 
8/4/2020;Afghanistan;30;4; 64.83 ; 41128772.0 
7/4/2020;Afghanistan;38;0; 64.83 ; 41128772.0 
6/4/2020;Afghanistan;29;2; 64.83 ; 41128772.0 
5/4/2020;Afghanistan;35;1; 64.83 ; 41128772.0 
4/4/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
3/4/2020;Afghanistan;43;0; 64.83 ; 41128772.0 
2/4/2020;Afghanistan;26;0; 64.83 ; 41128772.0 
1/4/2020;Afghanistan;25;0; 64.83 ; 41128772.0 
31/3/2020;Afghanistan;27;0; 64.83 ; 41128772.0 
30/3/2020;Afghanistan;8;1; 64.83 ; 41128772.0 
